area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,New Launch,Rajajinagar,3 BHK,Brigade Orchards,1520,2,3,51.73
Carpet Area,Immediate Possession,Sarjapur Road,4 BHK,Mantri Espana,2377,2,1,157.02
Super built-up Area,Ready To Move,HSR Layout,4 BHK,Godrej Aqua,2166,4,1,225.91
Carpet Area,6 Months,Rajajinagar,4 BHK,Brigade Millennium,2560,3,1,215.59
Built-up Area,1 Year,Whitefield,1 BHK,Embassy Lake Terraces,648,1,2,44.18
Built-up Area,New Launch,HSR Layout,2 BHK,Purva Riviera,1078,1,3,38.16
Super built-up Area,Immediate Possession,Bellandur,2 BHK,Sobha Dream Acres,1069,1,2,92.51
Built-up Area,6 Months,Kengeri,3 BHK,Purva Fountain Square,1618,1,2,96.56
Built-up Area,New Launch,Basavanagudi,4 BHK,Purva Riviera,2474,3,1,186.05
Carpet Area,1 Year,Bommanahalli,4 BHK,Purva Highlands,2205,3,1,81.63
Plot Area,New Launch,HSR Layout,4 BHK,Embassy Lake Terraces,2721,3,1,369.79
Plot Area,2 Years,BTM Layout 1st Stage,2 BHK,Sobha Windfall,1057,2,1,54.58
Plot Area,Under Construction,Koramangala 7th Block,2 BHK,Standalone Villa,988,1,2,104.06
Plot Area,New Launch,Basaveshwara Nagar,3 BHK,Sobha Dream Acres,1707,2,3,75.78
Carpet Area,Ready To Move,Hoodi,3 BHK,Independent House,1688,2,0,96.56
Built-up Area,Immediate Possession,Yelahanka,3 BHK,Prestige Golfshire,1467,3,1,106.34
Built-up Area,Immediate Possession,Sarjapur Road,3 BHK,Prestige Lakeside Habitat,1556,1,1,54.97
Carpet Area,New Launch,Koramangala 7th Block,6 BHK,Prestige Song of the South,4166,6,1,343.54
Super built-up Area,1 Year,Kadugodi,2 BHK,Salarpuria Misty Charm,1292,2,2,36.94
Plot Area,Immediate Possession,Yeshwanthpur,4 BHK,Mantri Webcity,2556,3,2,238.32
Super built-up Area,Under Construction,BTM Layout 1st Stage,2 BHK,Salarpuria Misty Charm,1151,1,2,69.08
Plot Area,6 Months,Yeshwanthpur,3 BHK,Godrej Aqua,1627,3,2,95.0
Plot Area,6 Months,Hennur,3 BHK,Godrej United,1664,1,2,156.01
Built-up Area,New Launch,Kundanhalli,4 BHK,Embassy Lake Terraces,2355,3,2,90.02
Plot Area,New Launch,Kundanhalli,3 BHK,Sobha City,1599,2,1,139.46
Super built-up Area,Immediate Possession,Domlur,3 BHK,Godrej United,1464,2,3,237.95
Plot Area,6 Months,Koramangala 6th Block,4 BHK,Brigade Millennium,2489,3,1,166.57
Built-up Area,New Launch,Domlur,2 BHK,Builder Floor,1131,1,2,81.46
Built-up Area,Under Construction,Koramangala 6th Block,2 BHK,Mantri Webcity,1093,2,1,147.38
Carpet Area,2 Years,HSR Layout,1 BHK,Brigade Gateway,608,1,1,61.84
Plot Area,Under Construction,Thanisandra,3 BHK,Mantri Alpyne,1723,3,2,97.83
Built-up Area,Under Construction,BTM Layout 2nd Stage,5 BHK,Godrej Aqua,3188,4,3,217.12
Super built-up Area,Under Construction,Bellandur,3 BHK,Embassy Boulevard,1427,2,2,52.62
Super built-up Area,1 Year,Kalyan Nagar,1 BHK,Embassy Boulevard,657,1,2,50.38
Carpet Area,Ready To Move,Banashankari,1 BHK,Salarpuria Divinity,648,1,2,20.0
Super built-up Area,Immediate Possession,Varthur,2 BHK,Row House,1082,1,2,45.45
Built-up Area,Immediate Possession,Basaveshwara Nagar,4 BHK,Prestige Song of the South,2429,2,1,122.01
Built-up Area,2 Years,Vijayanagar,3 BHK,Salarpuria Sattva,1481,1,1,87.02
Carpet Area,2 Years,Bannerghatta Road,4 BHK,Prestige Lakeside Habitat,2605,2,1,132.02
Carpet Area,2 Years,Kadugodi,3 BHK,Godrej United,1748,1,2,104.36
Super built-up Area,New Launch,Koramangala 4th Block,2 BHK,Embassy Pristine,1161,2,2,93.89
Built-up Area,2 Years,Basavanagudi,2 BHK,Embassy Boulevard,1010,1,0,83.74
Carpet Area,6 Months,Brookefield,4 BHK,Prestige Shantiniketan,2720,2,2,154.76
Built-up Area,Under Construction,BTM Layout,2 BHK,Embassy Pristine,1148,1,1,90.63
Built-up Area,New Launch,Koramangala,3 BHK,Godrej United,1590,3,2,92.59
Plot Area,1 Year,Hoodi,4 BHK,Godrej Aqua,2626,2,2,338.41
Carpet Area,New Launch,Hebbal,2 BHK,Prestige Song of the South,1144,1,1,56.83
Carpet Area,Immediate Possession,Koramangala,3 BHK,Godrej Aqua,1346,2,2,64.85
Super built-up Area,Immediate Possession,Ramamurthy Nagar,3 BHK,Mantri Espana,1710,2,1,131.14
Super built-up Area,1 Year,Banashankari,4 BHK,Brigade Cosmopolis,2366,4,1,123.96
Carpet Area,Under Construction,Yeshwanthpur,3 BHK,Independent House,1590,1,0,98.97
Plot Area,Ready To Move,Banashankari,3 BHK,Embassy Pristine,1722,1,1,149.14
Super built-up Area,New Launch,Kalyan Nagar,2 BHK,Godrej United,1147,1,1,57.25
Super built-up Area,6 Months,Kengeri Satellite Town,4 BHK,Purva Highlands,2278,3,3,58.07
Carpet Area,2 Years,Kundanhalli,3 BHK,Standalone Villa,1419,2,1,38.57
Built-up Area,Immediate Possession,Sarjapur Road,4 BHK,Standalone Villa,2437,2,0,236.22
Super built-up Area,Under Construction,Banashankari,3 BHK,Prestige Shantiniketan,1620,2,2,122.97
Carpet Area,Under Construction,Vijayanagar,5 BHK,Independent House,3104,3,2,236.72
Super built-up Area,Immediate Possession,Kalyan Nagar,4 BHK,Sobha Dream Acres,2517,4,0,265.17
Plot Area,Immediate Possession,Sarjapur Road,5 BHK,Embassy Lake Terraces,3175,5,3,261.06
Carpet Area,New Launch,HSR Layout Sector 1,3 BHK,Godrej United,1473,2,0,87.29
Carpet Area,2 Years,Banashankari,4 BHK,Brigade Millennium,2573,3,1,226.57
Carpet Area,New Launch,Rajajinagar,3 BHK,Sobha Silicon Oaks,1552,3,0,71.22
Carpet Area,New Launch,Hennur,3 BHK,Sobha City,1614,3,2,64.42
Super built-up Area,6 Months,Varthur,3 BHK,Brigade Cosmopolis,1497,2,0,147.89
Super built-up Area,6 Months,Rajajinagar,3 BHK,Salarpuria Sattva,1693,2,2,109.28
Built-up Area,1 Year,Nagarbhavi,3 BHK,Embassy Pristine,1691,1,1,113.12
Carpet Area,Immediate Possession,Kengeri,3 BHK,Embassy Boulevard,1345,1,2,29.1
Super built-up Area,New Launch,Koramangala,3 BHK,Embassy Lake Terraces,1681,3,2,135.16
Super built-up Area,Immediate Possession,Hebbal,2 BHK,Independent House,1095,2,2,63.25
Carpet Area,Immediate Possession,Hoodi,5 BHK,Brigade Cosmopolis,2865,5,2,112.05
Carpet Area,1 Year,Rajajinagar,2 BHK,Mantri Espana,1145,1,0,37.54
Built-up Area,6 Months,Sarjapur Road,3 BHK,Prestige Golfshire,1564,2,2,54.94
Built-up Area,1 Year,HSR Layout Sector 2,3 BHK,Godrej Eternity,1576,2,3,125.0
Plot Area,Under Construction,Koramangala 6th Block,1 BHK,Godrej United,645,1,3,63.54
Built-up Area,New Launch,Kengeri Satellite Town,2 BHK,Independent House,1262,2,1,25.63
Plot Area,Under Construction,HSR Layout Sector 1,3 BHK,Sobha Dream Acres,1441,2,3,153.35
Plot Area,Under Construction,Whitefield,2 BHK,Brigade Millennium,1059,1,1,92.29
Built-up Area,New Launch,BTM Layout 2nd Stage,2 BHK,Brigade Orchards,1069,1,1,31.75
Carpet Area,Ready To Move,HSR Layout Sector 1,3 BHK,Salarpuria Greenage,1311,2,1,56.95
Carpet Area,Under Construction,Electronic City,4 BHK,Purva Panorama,2342,3,1,180.82
Plot Area,6 Months,Nagarbhavi,3 BHK,Sobha Silicon Oaks,1756,2,3,167.36
Plot Area,Immediate Possession,Koramangala 4th Block,2 BHK,Row House,1238,2,1,150.31
Carpet Area,New Launch,Hoodi,2 BHK,Salarpuria Misty Charm,1116,1,1,40.26
Plot Area,2 Years,Hebbal,4 BHK,Embassy Pristine,2373,3,2,244.05
Built-up Area,1 Year,Koramangala 4th Block,5 BHK,Prestige Song of the South,3295,4,3,454.0
Super built-up Area,1 Year,Ramamurthy Nagar,1 BHK,Mantri Espana,504,1,2,36.32
Carpet Area,Ready To Move,Koramangala 5th Block,2 BHK,Mantri Serenity,972,1,2,75.48
Carpet Area,2 Years,Bellandur,4 BHK,Purva Fountain Square,2204,2,1,155.45
Plot Area,Ready To Move,Banashankari,2 BHK,Brigade Gateway,1104,1,1,91.12
Carpet Area,6 Months,HSR Layout Sector 2,4 BHK,Godrej United,2424,2,3,183.47
Carpet Area,6 Months,Electronic City,3 BHK,Embassy Pristine,1612,2,2,80.09
Built-up Area,Immediate Possession,KR Puram,2 BHK,Embassy Springs,1091,2,0,55.89
Built-up Area,Under Construction,Ramamurthy Nagar,3 BHK,Embassy Springs,1675,2,1,52.21
Built-up Area,2 Years,Rajajinagar,3 BHK,Brigade Cosmopolis,1778,1,3,133.27
Built-up Area,Immediate Possession,Varthur,4 BHK,Brigade Orchards,2081,3,1,160.04
Super built-up Area,1 Year,Brookefield,1 BHK,Purva Fountain Square,622,1,0,26.75
Plot Area,Immediate Possession,Basavanagudi,2 BHK,Mantri Alpyne,1035,1,1,76.91
Built-up Area,2 Years,Hennur,5 BHK,Godrej Aqua,3060,3,2,178.5
Super built-up Area,6 Months,Bommanahalli,4 BHK,Mantri Webcity,2093,2,2,128.29
Built-up Area,1 Year,BTM Layout 1st Stage,4 BHK,Salarpuria Sattva,2521,2,3,152.47
Plot Area,Immediate Possession,Koramangala 7th Block,1 BHK,Sobha Silicon Oaks,573,1,1,73.24
Super built-up Area,6 Months,HSR Layout Sector 6,4 BHK,Salarpuria Greenage,2353,3,0,185.65
Super built-up Area,6 Months,HSR Layout Sector 2,3 BHK,Sobha Silicon Oaks,1529,3,3,91.91
Built-up Area,Under Construction,Kadugodi,3 BHK,Salarpuria Divinity,1537,3,1,72.37
Super built-up Area,1 Year,Brookefield,2 BHK,Prestige Song of the South,1090,1,2,124.65
Plot Area,New Launch,Yeshwanthpur,2 BHK,Embassy Boulevard,986,1,2,68.37
Built-up Area,New Launch,Kundanhalli,3 BHK,Prestige Lakeside Habitat,1611,2,2,55.35
Super built-up Area,Under Construction,BTM Layout,4 BHK,Mantri Alpyne,2501,2,1,181.78
Plot Area,Under Construction,Malleshwaram,3 BHK,Godrej Aqua,1681,1,0,199.37
Super built-up Area,2 Years,Domlur,4 BHK,Mantri Webcity,2551,3,3,377.09
Plot Area,1 Year,Malleshwaram,2 BHK,Purva Panorama,1145,2,3,89.38
Super built-up Area,1 Year,Kengeri Satellite Town,3 BHK,Sobha Silicon Oaks,1706,1,1,107.64
Super built-up Area,2 Years,KR Puram,3 BHK,Sobha Silicon Oaks,1657,2,2,117.91
Super built-up Area,1 Year,Vijayanagar,4 BHK,Standalone Villa,2512,4,3,166.42
Plot Area,2 Years,Hennur,5 BHK,Godrej Eternity,3213,4,0,93.44
Super built-up Area,New Launch,Ramamurthy Nagar,1 BHK,Brigade Cosmopolis,629,1,1,25.2
Super built-up Area,Ready To Move,Kalyan Nagar,6 BHK,Brigade Gateway,4745,5,2,496.43
Super built-up Area,1 Year,Koramangala 7th Block,4 BHK,Sobha Windfall,2207,3,2,340.31
Carpet Area,Under Construction,Banaswadi,2 BHK,Embassy Boulevard,1089,1,1,62.04
Carpet Area,Ready To Move,JP Nagar,4 BHK,Mantri Webcity,2610,4,2,231.84
Plot Area,2 Years,Thanisandra,3 BHK,Embassy Boulevard,1482,2,3,96.38
Carpet Area,1 Year,Hoodi,5 BHK,Purva Highlands,2908,4,1,275.59
Carpet Area,6 Months,Hennur,4 BHK,Brigade Orchards,2858,4,2,182.86
Built-up Area,6 Months,Bannerghatta Road,3 BHK,Sobha Dream Acres,1682,3,3,82.21
Carpet Area,6 Months,Basavanagudi,3 BHK,Embassy Lake Terraces,1582,2,2,122.85
Built-up Area,6 Months,Bellandur,5 BHK,Godrej Air,2844,3,3,241.08
Plot Area,1 Year,Vijayanagar,2 BHK,Sobha Dream Acres,1110,1,1,70.3
Built-up Area,Under Construction,Kengeri Satellite Town,3 BHK,Sobha Dream Acres,1666,1,3,80.09
Built-up Area,Ready To Move,Yelahanka,2 BHK,Mantri Serenity,1265,1,1,62.13
Super built-up Area,New Launch,Hebbal,3 BHK,Embassy Lake Terraces,1581,1,3,96.45
Built-up Area,New Launch,Kundanhalli,3 BHK,Brigade Gateway,1556,2,2,35.52
Carpet Area,Immediate Possession,Koramangala 1st Block,3 BHK,Embassy Pristine,1530,2,3,152.1
Plot Area,Under Construction,Koramangala 1st Block,2 BHK,Salarpuria Divinity,1163,1,2,107.58
Super built-up Area,New Launch,Whitefield,3 BHK,Salarpuria Greenage,1422,2,2,90.49
Built-up Area,Under Construction,JP Nagar,5 BHK,Brigade Orchards,3651,5,3,211.28
Built-up Area,New Launch,BTM Layout 1st Stage,3 BHK,Embassy Pristine,1407,1,2,50.79
Super built-up Area,2 Years,Koramangala 6th Block,4 BHK,Builder Floor,2395,3,1,338.68
Built-up Area,New Launch,Kengeri Satellite Town,3 BHK,Sobha City,1733,1,3,70.68
Super built-up Area,New Launch,HSR Layout Sector 6,3 BHK,Independent House,1693,3,1,60.9
Super built-up Area,2 Years,Kengeri,2 BHK,Godrej Eternity,1082,1,1,99.85
Built-up Area,Under Construction,Koramangala 6th Block,3 BHK,Prestige Golfshire,1425,2,2,63.71
Built-up Area,Under Construction,Basaveshwara Nagar,3 BHK,Mantri Alpyne,1598,2,2,106.41
Carpet Area,6 Months,Koramangala,4 BHK,Brigade Orchards,2515,4,1,105.4
Built-up Area,1 Year,Kengeri Satellite Town,4 BHK,Purva Panorama,2444,3,3,55.75
Carpet Area,Ready To Move,Koramangala 1st Block,2 BHK,Mantri Serenity,985,1,3,152.31
Plot Area,Immediate Possession,Malleshwaram,3 BHK,Salarpuria Sattva,1782,3,0,236.52
Super built-up Area,Under Construction,Kadugodi,6 BHK,Salarpuria Divinity,5507,6,0,446.59
Super built-up Area,Immediate Possession,Hennur,4 BHK,Purva Riviera,2529,4,2,163.42
Built-up Area,6 Months,Koramangala 4th Block,4 BHK,Embassy Pristine,2438,3,1,194.23
Super built-up Area,6 Months,Koramangala 6th Block,3 BHK,Godrej United,1588,3,2,179.66
Plot Area,2 Years,Nagarbhavi,6 BHK,Purva Riviera,4904,4,1,437.36
Carpet Area,2 Years,Whitefield,1 BHK,Sobha Silicon Oaks,464,1,3,20.0
Built-up Area,New Launch,Mahadevapura,4 BHK,Independent House,2208,2,3,176.93
Carpet Area,1 Year,Domlur,3 BHK,Godrej Air,1554,2,2,79.73
Built-up Area,New Launch,Koramangala 4th Block,3 BHK,Brigade Orchards,1324,2,2,74.06
Plot Area,Ready To Move,HSR Layout Sector 6,3 BHK,Godrej Aqua,1613,1,1,147.87
Carpet Area,6 Months,Whitefield,2 BHK,Salarpuria Divinity,1053,1,2,96.81
Built-up Area,Ready To Move,Yeshwanthpur,2 BHK,Godrej United,1173,1,2,79.62
Plot Area,New Launch,Marathahalli,4 BHK,Standalone Villa,2175,3,2,75.26
Super built-up Area,2 Years,Jayanagar,4 BHK,Salarpuria Greenage,2528,3,1,240.21
Carpet Area,New Launch,Bellandur,2 BHK,Builder Floor,960,1,2,70.28
Carpet Area,6 Months,Marathahalli,2 BHK,Mantri Serenity,1237,1,2,40.64
Built-up Area,Under Construction,Kadugodi,4 BHK,Brigade Cosmopolis,2305,3,1,155.4
Built-up Area,New Launch,Yeshwanthpur,3 BHK,Builder Floor,1576,1,2,118.37
Plot Area,2 Years,BTM Layout 1st Stage,3 BHK,Brigade Orchards,1760,2,2,82.36
Plot Area,2 Years,Yelahanka,3 BHK,Godrej Air,1539,2,1,121.59
Carpet Area,New Launch,Hebbal,1 BHK,Salarpuria Misty Charm,552,1,2,25.79
Carpet Area,Immediate Possession,Hennur,2 BHK,Brigade Cosmopolis,1050,1,2,48.56
Plot Area,Ready To Move,Whitefield,2 BHK,Sobha Silicon Oaks,1232,1,3,130.55
Built-up Area,Immediate Possession,BTM Layout 1st Stage,3 BHK,Brigade Orchards,1610,3,1,69.11
Built-up Area,Under Construction,Vijayanagar,1 BHK,Prestige Golfshire,660,1,2,48.2
Super built-up Area,New Launch,Brookefield,3 BHK,Godrej United,1316,1,0,61.27
Built-up Area,2 Years,Kadugodi,2 BHK,Mantri Serenity,1102,1,3,71.92
Super built-up Area,Ready To Move,Kengeri,3 BHK,Embassy Boulevard,1515,2,2,41.17
Plot Area,1 Year,Kadugodi,4 BHK,Salarpuria Divinity,2384,4,1,150.44
Plot Area,1 Year,BTM Layout 2nd Stage,3 BHK,Embassy Pristine,1705,2,0,241.02
Plot Area,Ready To Move,Kengeri,3 BHK,Salarpuria Sattva,1490,3,1,81.61
Carpet Area,New Launch,HSR Layout Sector 6,3 BHK,Standalone Villa,1438,2,3,84.59
Carpet Area,Ready To Move,Hennur,3 BHK,Salarpuria Divinity,1744,2,1,94.64
Super built-up Area,New Launch,Kengeri Satellite Town,3 BHK,Sobha Silicon Oaks,1565,2,0,43.2
Carpet Area,6 Months,Hebbal,3 BHK,Purva Riviera,1557,3,1,63.73
Built-up Area,New Launch,Hennur,1 BHK,Standalone Villa,597,1,3,39.15
Carpet Area,1 Year,Koramangala 5th Block,3 BHK,Brigade Millennium,1737,2,3,140.16
Carpet Area,2 Years,BTM Layout,3 BHK,Embassy Lake Terraces,1517,1,3,118.78
Built-up Area,Under Construction,Kengeri Satellite Town,4 BHK,Purva Fountain Square,2467,2,1,158.22
Plot Area,New Launch,Basavanagudi,4 BHK,Mantri Webcity,2478,3,1,150.27
Carpet Area,New Launch,Banashankari,2 BHK,Brigade Millennium,1118,1,2,93.79
Plot Area,Immediate Possession,Sarjapur Road,3 BHK,Brigade Cosmopolis,1396,1,2,140.3
Super built-up Area,6 Months,Indiranagar,4 BHK,Embassy Lake Terraces,2225,4,2,200.44
Plot Area,Ready To Move,Koramangala 6th Block,4 BHK,Independent House,2609,3,1,163.05
Plot Area,New Launch,Koramangala 4th Block,2 BHK,Mantri Webcity,1041,2,3,124.47
Super built-up Area,6 Months,Kengeri Satellite Town,5 BHK,Mantri Espana,3310,5,1,172.73
Built-up Area,2 Years,Koramangala 4th Block,1 BHK,Independent House,546,1,2,71.14
Plot Area,6 Months,Koramangala 6th Block,2 BHK,Purva Riviera,1012,2,0,64.59
Plot Area,2 Years,Banashankari,4 BHK,Brigade Orchards,2256,2,2,108.07
Built-up Area,1 Year,Hennur,4 BHK,Mantri Webcity,2108,4,1,108.32
Carpet Area,Immediate Possession,Rajajinagar,3 BHK,Builder Floor,1310,1,2,113.95
Plot Area,6 Months,Electronic City,3 BHK,Sobha Dream Acres,1530,3,2,112.03
Plot Area,Ready To Move,HSR Layout Sector 2,6 BHK,Prestige Shantiniketan,4601,5,1,350.99
Plot Area,Under Construction,Kadugodi,3 BHK,Prestige Golfshire,1482,2,1,108.58
Carpet Area,6 Months,Koramangala 7th Block,3 BHK,Mantri Alpyne,1706,2,1,193.21
Carpet Area,1 Year,Koramangala 6th Block,3 BHK,Brigade Gateway,1425,2,1,105.47
Built-up Area,New Launch,Hebbal,4 BHK,Godrej Aqua,2809,4,1,126.14
Super built-up Area,2 Years,Electronic City,3 BHK,Prestige Lakeside Habitat,1742,2,3,91.18
Carpet Area,2 Years,BTM Layout,2 BHK,Purva Fountain Square,1153,1,2,100.11
Built-up Area,Under Construction,BTM Layout 2nd Stage,3 BHK,Godrej Air,1714,2,2,159.08
Carpet Area,Under Construction,Kalyan Nagar,3 BHK,Mantri Serenity,1559,2,2,45.32
Built-up Area,Immediate Possession,Electronic City,3 BHK,Embassy Springs,1804,1,2,96.3
Plot Area,2 Years,Electronic City,4 BHK,Mantri Serenity,2810,2,2,224.39
Plot Area,Immediate Possession,Indiranagar,2 BHK,Brigade Cosmopolis,1098,1,1,136.12
Plot Area,6 Months,JP Nagar,3 BHK,Embassy Springs,1779,3,2,156.02
Super built-up Area,Under Construction,Rajajinagar,5 BHK,Mantri Serenity,3670,5,3,604.57
Carpet Area,1 Year,Mahadevapura,6 BHK,Purva Fountain Square,4316,4,1,200.0
Built-up Area,Ready To Move,Jayanagar,2 BHK,Independent House,1146,1,3,134.03
Carpet Area,6 Months,Kundanhalli,1 BHK,Embassy Springs,728,1,2,40.89
Super built-up Area,Immediate Possession,Electronic City,3 BHK,Sobha Silicon Oaks,1671,1,2,80.91
Carpet Area,New Launch,Marathahalli,1 BHK,Godrej Air,511,1,2,20.0
Carpet Area,Under Construction,Kalyan Nagar,4 BHK,Mantri Espana,2789,2,0,162.14
Super built-up Area,New Launch,Kundanhalli,3 BHK,Purva Fountain Square,1535,3,2,133.52
Built-up Area,Under Construction,Hebbal,2 BHK,Prestige Shantiniketan,1104,1,2,62.01
Built-up Area,Under Construction,Koramangala 1st Block,3 BHK,Salarpuria Divinity,1391,3,0,121.53
Built-up Area,2 Years,Indiranagar,2 BHK,Sobha Dream Acres,1182,1,1,178.28
Plot Area,2 Years,HSR Layout Sector 2,3 BHK,Sobha Windfall,1595,1,2,254.72
Built-up Area,6 Months,Rajajinagar,3 BHK,Brigade Gateway,1592,2,1,124.94
Super built-up Area,2 Years,Brookefield,3 BHK,Sobha Windfall,1572,3,2,103.22
Built-up Area,New Launch,Mahadevapura,3 BHK,Brigade Cosmopolis,1534,2,1,106.96
Carpet Area,Ready To Move,Yelahanka,3 BHK,Brigade Millennium,1474,2,1,65.24
Plot Area,Ready To Move,Electronic City,4 BHK,Brigade Gateway,2371,2,2,174.15
Plot Area,2 Years,Koramangala,2 BHK,Builder Floor,976,1,1,152.51
Super built-up Area,Ready To Move,Yeshwanthpur,4 BHK,Salarpuria Misty Charm,2450,3,1,100.72
Plot Area,Ready To Move,HSR Layout,6 BHK,Embassy Springs,5020,4,1,778.31
Plot Area,2 Years,Thanisandra,1 BHK,Standalone Villa,677,1,1,43.12
Super built-up Area,New Launch,Bannerghatta Road,2 BHK,Salarpuria Divinity,1066,1,1,68.76
Built-up Area,New Launch,Yelahanka,3 BHK,Standalone Villa,1372,2,1,44.95
Super built-up Area,Immediate Possession,HSR Layout Sector 2,4 BHK,Embassy Pristine,2502,3,2,195.47
Built-up Area,6 Months,Bannerghatta Road,4 BHK,Prestige Lakeside Habitat,2798,3,0,159.61
Super built-up Area,1 Year,Basavanagudi,4 BHK,Salarpuria Sattva,2415,2,1,243.65
Super built-up Area,Under Construction,Bommanahalli,3 BHK,Salarpuria Greenage,1757,2,3,72.0
Carpet Area,New Launch,Rajajinagar,2 BHK,Mantri Alpyne,915,1,1,47.74
Carpet Area,Immediate Possession,Bannerghatta Road,4 BHK,Embassy Lake Terraces,2524,3,2,161.21
Super built-up Area,1 Year,Koramangala 7th Block,3 BHK,Prestige Song of the South,1727,3,3,255.97
Built-up Area,Ready To Move,Jayanagar,4 BHK,Brigade Gateway,2406,4,2,314.48
Built-up Area,Immediate Possession,Malleshwaram,4 BHK,Purva Fountain Square,2382,4,2,237.23
Plot Area,Immediate Possession,Koramangala 6th Block,4 BHK,Salarpuria Misty Charm,2503,3,2,255.42
Plot Area,Immediate Possession,HSR Layout Sector 6,4 BHK,Mantri Serenity,2192,2,3,403.14
Carpet Area,6 Months,HSR Layout Sector 2,2 BHK,Purva Highlands,1400,2,3,90.94
Carpet Area,1 Year,Kengeri Satellite Town,4 BHK,Independent House,2429,3,1,53.65
Built-up Area,New Launch,Hoodi,4 BHK,Mantri Webcity,2707,2,3,234.68
Plot Area,1 Year,Koramangala 5th Block,3 BHK,Salarpuria Sattva,1808,2,3,110.83
Carpet Area,Ready To Move,Koramangala 1st Block,3 BHK,Embassy Lake Terraces,1496,1,1,145.6
Super built-up Area,6 Months,BTM Layout 1st Stage,3 BHK,Prestige Lakeside Habitat,1363,3,2,157.34
Plot Area,2 Years,Basavanagudi,5 BHK,Embassy Springs,3274,5,2,248.95
Carpet Area,Under Construction,Koramangala 5th Block,2 BHK,Salarpuria Misty Charm,1109,1,2,118.04
Plot Area,6 Months,Hennur,4 BHK,Mantri Espana,2508,3,3,217.44
Built-up Area,Under Construction,Ramamurthy Nagar,4 BHK,Salarpuria Greenage,2441,4,2,96.02
Carpet Area,6 Months,Jayanagar,3 BHK,Brigade Gateway,1702,3,0,113.51
Carpet Area,6 Months,Koramangala 4th Block,3 BHK,Salarpuria Greenage,1531,2,2,168.58
Built-up Area,Ready To Move,Brookefield,3 BHK,Sobha Windfall,1568,2,0,104.82
Built-up Area,6 Months,Vijayanagar,2 BHK,Godrej United,1320,1,0,133.97
Super built-up Area,Immediate Possession,Kengeri,4 BHK,Sobha Dream Acres,2451,2,1,221.72
Plot Area,Immediate Possession,Koramangala 1st Block,1 BHK,Mantri Alpyne,619,1,2,98.13
Carpet Area,Ready To Move,Bannerghatta Road,4 BHK,Purva Panorama,2615,3,2,78.78
Carpet Area,Under Construction,Vijayanagar,4 BHK,Purva Panorama,2406,4,3,132.57
Built-up Area,Under Construction,Banaswadi,3 BHK,Salarpuria Divinity,1710,2,1,61.19
Plot Area,2 Years,Malleshwaram,3 BHK,Sobha Windfall,1752,1,1,255.35
Built-up Area,Under Construction,Ramamurthy Nagar,4 BHK,Salarpuria Misty Charm,2178,4,3,193.84
Carpet Area,Under Construction,Basavanagudi,2 BHK,Brigade Cosmopolis,953,2,1,61.67
Built-up Area,Under Construction,Nagarbhavi,4 BHK,Purva Highlands,2404,3,2,72.46
Carpet Area,2 Years,Banashankari,5 BHK,Purva Fountain Square,2849,5,1,223.84
Super built-up Area,6 Months,HSR Layout Sector 6,1 BHK,Godrej Air,759,1,2,91.05
Plot Area,Under Construction,HSR Layout Sector 6,2 BHK,Purva Highlands,1157,1,3,83.36
Plot Area,Under Construction,Sarjapur Road,3 BHK,Purva Panorama,1535,2,1,91.78
Super built-up Area,Immediate Possession,Kengeri,4 BHK,Prestige Golfshire,2491,4,1,138.76
Plot Area,Immediate Possession,HSR Layout Sector 6,3 BHK,Sobha Windfall,1522,1,1,104.48
Built-up Area,6 Months,Bommanahalli,4 BHK,Salarpuria Sattva,2292,4,3,219.16
Carpet Area,Under Construction,Nagarbhavi,2 BHK,Embassy Pristine,1025,1,2,24.34
Super built-up Area,1 Year,Banaswadi,2 BHK,Salarpuria Sattva,940,1,1,51.03
Carpet Area,New Launch,Nagarbhavi,4 BHK,Independent House,2613,3,0,80.33
Carpet Area,New Launch,Banaswadi,2 BHK,Mantri Espana,1136,2,0,45.49
Plot Area,Under Construction,Marathahalli,5 BHK,Embassy Pristine,3267,4,1,200.05
Plot Area,1 Year,Koramangala 7th Block,4 BHK,Brigade Orchards,2441,4,2,386.42
Plot Area,6 Months,Vijayanagar,4 BHK,Prestige Song of the South,2645,2,2,117.58
Super built-up Area,6 Months,Koramangala,4 BHK,Salarpuria Sattva,2027,4,2,229.75
Built-up Area,New Launch,Sarjapur Road,2 BHK,Sobha Silicon Oaks,1117,1,2,67.32
Super built-up Area,New Launch,Vijayanagar,2 BHK,Purva Highlands,1213,1,1,79.94
Super built-up Area,Immediate Possession,Koramangala 6th Block,4 BHK,Godrej United,2204,4,3,224.32
Built-up Area,Ready To Move,JP Nagar,3 BHK,Mantri Webcity,1569,3,1,100.38
Plot Area,2 Years,Bommanahalli,4 BHK,Brigade Millennium,2492,2,1,260.17
Carpet Area,2 Years,Yelahanka,4 BHK,Salarpuria Misty Charm,2590,3,3,94.0
Carpet Area,Immediate Possession,Malleshwaram,5 BHK,Godrej Eternity,2986,4,2,200.1
Carpet Area,2 Years,Thanisandra,2 BHK,Sobha Windfall,1127,1,2,36.0
Carpet Area,1 Year,Koramangala 5th Block,3 BHK,Brigade Cosmopolis,1459,2,0,114.09
